store_nbr,family_name,current_stock,on_order,backorders
5,EGGS,,,
5,FROZEN FOODS,,,
5,GROCERY I,,,
5,GROCERY II,,,
5,HARDWARE,,,
5,HOME AND KITCHEN I,,,
5,HOME AND KITCHEN II,,,
5,HOME APPLIANCES,,,
5,HOME CARE,,,
5,LADIESWEAR,,,
5,LAWN AND GARDEN,,,
5,LINGERIE,,,
5,"LIQUOR,WINE,BEER",,,
5,MAGAZINES,,,
5,MEATS,,,
5,PERSONAL CARE,,,
5,PET SUPPLIES,,,
5,PLAYERS AND ELECTRONICS,,,
5,POULTRY,,,
5,PREPARED FOODS,,,
5,PRODUCE,,,
5,SCHOOL AND OFFICE SUPPLIES,,,
5,SEAFOOD,,,
6,AUTOMOTIVE,,,
6,BABY CARE,,,
6,BEAUTY,,,
6,BEVERAGES,,,
6,BOOKS,,,
6,BREAD/BAKERY,,,
6,CELEBRATION,,,
6,CLEANING,,,
6,DAIRY,,,
6,DELI,,,
6,EGGS,,,
6,FROZEN FOODS,,,
6,GROCERY I,,,
6,GROCERY II,,,
6,HARDWARE,,,
6,HOME AND KITCHEN I,,,
6,HOME AND KITCHEN II,,,
6,HOME APPLIANCES,,,
6,HOME CARE,,,
6,LADIESWEAR,,,
6,LAWN AND GARDEN,,,
6,LINGERIE,,,
6,"LIQUOR,WINE,BEER",,,
6,MAGAZINES,,,
6,MEATS,,,
6,PERSONAL CARE,,,
6,PET SUPPLIES,,,
6,PLAYERS AND ELECTRONICS,,,
6,POULTRY,,,
6,PREPARED FOODS,,,
6,PRODUCE,,,
6,SCHOOL AND OFFICE SUPPLIES,,,
6,SEAFOOD,,,
7,AUTOMOTIVE,,,
7,BABY CARE,,,
7,BEAUTY,,,
7,BEVERAGES,,,
7,BOOKS,,,
7,BREAD/BAKERY,,,
7,CELEBRATION,,,
7,CLEANING,,,
7,DAIRY,,,
7,DELI,,,
7,EGGS,,,
7,FROZEN FOODS,,,
7,GROCERY I,,,
7,GROCERY II,,,
7,HARDWARE,,,
7,HOME AND KITCHEN I,,,
7,HOME AND KITCHEN II,,,
7,HOME APPLIANCES,,,
7,HOME CARE,,,
7,LADIESWEAR,,,
7,LAWN AND GARDEN,,,
7,LINGERIE,,,
7,"LIQUOR,WINE,BEER",,,
7,MAGAZINES,,,
7,MEATS,,,
7,PERSONAL CARE,,,
7,PET SUPPLIES,,,
7,PLAYERS AND ELECTRONICS,,,
7,POULTRY,,,
7,PREPARED FOODS,,,
7,PRODUCE,,,
7,SCHOOL AND OFFICE SUPPLIES,,,
7,SEAFOOD,,,
8,AUTOMOTIVE,,,
8,BABY CARE,,,
8,BEAUTY,,,
8,BEVERAGES,,,
8,BOOKS,,,
8,BREAD/BAKERY,,,
8,CELEBRATION,,,
8,CLEANING,,,
8,DAIRY,,,
8,DELI,,,
8,EGGS,,,
8,FROZEN FOODS,,,
8,GROCERY I,,,
8,GROCERY II,,,
8,HARDWARE,,,
8,HOME AND KITCHEN I,,,
8,HOME AND KITCHEN II,,,
8,HOME APPLIANCES,,,
8,HOME CARE,,,
8,LADIESWEAR,,,
8,LAWN AND GARDEN,,,
8,LINGERIE,,,
8,"LIQUOR,WINE,BEER",,,
8,MAGAZINES,,,
8,MEATS,,,
8,PERSONAL CARE,,,
8,PET SUPPLIES,,,
8,PLAYERS AND ELECTRONICS,,,
8,POULTRY,,,
8,PREPARED FOODS,,,
8,PRODUCE,,,
8,SCHOOL AND OFFICE SUPPLIES,,,
8,SEAFOOD,,,
9,AUTOMOTIVE,,,
9,BABY CARE,,,
9,BEAUTY,,,
9,BEVERAGES,,,
9,BOOKS,,,
9,BREAD/BAKERY,,,
9,CELEBRATION,,,
9,CLEANING,,,
9,DAIRY,,,
9,DELI,,,
9,EGGS,,,
9,FROZEN FOODS,,,
9,GROCERY I,,,
9,GROCERY II,,,
9,HARDWARE,,,
9,HOME AND KITCHEN I,,,
9,HOME AND KITCHEN II,,,
9,HOME APPLIANCES,,,
9,HOME CARE,,,
9,LADIESWEAR,,,
9,LAWN AND GARDEN,,,
9,LINGERIE,,,
9,"LIQUOR,WINE,BEER",,,
9,MAGAZINES,,,
9,MEATS,,,
9,PERSONAL CARE,,,
9,PET SUPPLIES,,,
9,PLAYERS AND ELECTRONICS,,,
9,POULTRY,,,
9,PREPARED FOODS,,,
9,PRODUCE,,,
9,SCHOOL AND OFFICE SUPPLIES,,,
9,SEAFOOD,,,
10,AUTOMOTIVE,,,
10,BABY CARE,,,
10,BEAUTY,,,
10,BEVERAGES,,,
10,BOOKS,,,
10,BREAD/BAKERY,,,
10,CELEBRATION,,,
10,CLEANING,,,
10,DAIRY,,,
10,DELI,,,
10,EGGS,,,
10,FROZEN FOODS,,,
10,GROCERY I,,,
10,GROCERY II,,,
10,HARDWARE,,,
10,HOME AND KITCHEN I,,,
10,HOME AND KITCHEN II,,,
10,HOME APPLIANCES,,,
10,HOME CARE,,,
10,LADIESWEAR,,,
10,LAWN AND GARDEN,,,
10,LINGERIE,,,
10,"LIQUOR,WINE,BEER",,,
10,MAGAZINES,,,
10,MEATS,,,
10,PERSONAL CARE,,,
10,PET SUPPLIES,,,
10,PLAYERS AND ELECTRONICS,,,
10,POULTRY,,,
10,PREPARED FOODS,,,
10,PRODUCE,,,
10,SCHOOL AND OFFICE SUPPLIES,,,
10,SEAFOOD,,,
11,AUTOMOTIVE,,,
11,BABY CARE,,,
11,BEAUTY,,,
11,BEVERAGES,,,
11,BOOKS,,,
11,BREAD/BAKERY,,,
11,CELEBRATION,,,
11,CLEANING,,,
11,DAIRY,,,
11,DELI,,,
11,EGGS,,,
11,FROZEN FOODS,,,
11,GROCERY I,,,
11,GROCERY II,,,
11,HARDWARE,,,
11,HOME AND KITCHEN I,,,
11,HOME AND KITCHEN II,,,
11,HOME APPLIANCES,,,
11,HOME CARE,,,
11,LADIESWEAR,,,
11,LAWN AND GARDEN,,,
11,LINGERIE,,,
11,"LIQUOR,WINE,BEER",,,
11,MAGAZINES,,,
11,MEATS,,,
11,PERSONAL CARE,,,
11,PET SUPPLIES,,,
11,PLAYERS AND ELECTRONICS,,,
11,POULTRY,,,
11,PREPARED FOODS,,,
11,PRODUCE,,,
11,SCHOOL AND OFFICE SUPPLIES,,,
11,SEAFOOD,,,
12,AUTOMOTIVE,,,
12,BABY CARE,,,
12,BEAUTY,,,
12,BEVERAGES,,,
12,BOOKS,,,
12,BREAD/BAKERY,,,
12,CELEBRATION,,,
12,CLEANING,,,
12,DAIRY,,,
12,DELI,,,
12,EGGS,,,
12,FROZEN FOODS,,,
12,GROCERY I,,,
12,GROCERY II,,,
12,HARDWARE,,,
12,HOME AND KITCHEN I,,,
12,HOME AND KITCHEN II,,,
12,HOME APPLIANCES,,,
12,HOME CARE,,,
12,LADIESWEAR,,,
12,LAWN AND GARDEN,,,
12,LINGERIE,,,
12,"LIQUOR,WINE,BEER",,,
12,MAGAZINES,,,
12,MEATS,,,
12,PERSONAL CARE,,,
12,PET SUPPLIES,,,
12,PLAYERS AND ELECTRONICS,,,
12,POULTRY,,,
12,PREPARED FOODS,,,
12,PRODUCE,,,
12,SCHOOL AND OFFICE SUPPLIES,,,
12,SEAFOOD,,,
13,AUTOMOTIVE,,,
13,BABY CARE,,,
13,BEAUTY,,,
13,BEVERAGES,,,
13,BOOKS,,,
13,BREAD/BAKERY,,,
13,CELEBRATION,,,
13,CLEANING,,,
13,DAIRY,,,
13,DELI,,,
13,EGGS,,,
13,FROZEN FOODS,,,
13,GROCERY I,,,
13,GROCERY II,,,
13,HARDWARE,,,
13,HOME AND KITCHEN I,,,
13,HOME AND KITCHEN II,,,
13,HOME APPLIANCES,,,
13,HOME CARE,,,
13,LADIESWEAR,,,
13,LAWN AND GARDEN,,,
13,LINGERIE,,,
13,"LIQUOR,WINE,BEER",,,
13,MAGAZINES,,,
13,MEATS,,,
13,PERSONAL CARE,,,
13,PET SUPPLIES,,,
13,PLAYERS AND ELECTRONICS,,,
13,POULTRY,,,
13,PREPARED FOODS,,,
13,PRODUCE,,,
13,SCHOOL AND OFFICE SUPPLIES,,,
13,SEAFOOD,,,
14,AUTOMOTIVE,,,
14,BABY CARE,,,
14,BEAUTY,,,
14,BEVERAGES,,,
14,BOOKS,,,
14,BREAD/BAKERY,,,
14,CELEBRATION,,,
14,CLEANING,,,
14,DAIRY,,,
14,DELI,,,
14,EGGS,,,
14,FROZEN FOODS,,,
14,GROCERY I,,,
14,GROCERY II,,,
14,HARDWARE,,,
14,HOME AND KITCHEN I,,,
14,HOME AND KITCHEN II,,,
14,HOME APPLIANCES,,,
14,HOME CARE,,,
14,LADIESWEAR,,,
14,LAWN AND GARDEN,,,
14,LINGERIE,,,
14,"LIQUOR,WINE,BEER",,,
14,MAGAZINES,,,
14,MEATS,,,
14,PERSONAL CARE,,,
14,PET SUPPLIES,,,
14,PLAYERS AND ELECTRONICS,,,
14,POULTRY,,,
14,PREPARED FOODS,,,
14,PRODUCE,,,
14,SCHOOL AND OFFICE SUPPLIES,,,
14,SEAFOOD,,,
15,AUTOMOTIVE,,,
15,BABY CARE,,,
15,BEAUTY,,,
15,BEVERAGES,,,
15,BOOKS,,,
15,BREAD/BAKERY,,,
15,CELEBRATION,,,
15,CLEANING,,,
15,DAIRY,,,
15,DELI,,,
15,EGGS,,,
15,FROZEN FOODS,,,
15,GROCERY I,,,
15,GROCERY II,,,
15,HARDWARE,,,
15,HOME AND KITCHEN I,,,
15,HOME AND KITCHEN II,,,
15,HOME APPLIANCES,,,
15,HOME CARE,,,
15,LADIESWEAR,,,
15,LAWN AND GARDEN,,,
15,LINGERIE,,,
15,"LIQUOR,WINE,BEER",,,
15,MAGAZINES,,,
15,MEATS,,,
15,PERSONAL CARE,,,
15,PET SUPPLIES,,,
15,PLAYERS AND ELECTRONICS,,,
15,POULTRY,,,
15,PREPARED FOODS,,,
15,PRODUCE,,,
15,SCHOOL AND OFFICE SUPPLIES,,,
15,SEAFOOD,,,
16,AUTOMOTIVE,,,
16,BABY CARE,,,
16,BEAUTY,,,
16,BEVERAGES,,,
16,BOOKS,,,
16,BREAD/BAKERY,,,
16,CELEBRATION,,,
16,CLEANING,,,
16,DAIRY,,,
16,DELI,,,
16,EGGS,,,
16,FROZEN FOODS,,,
16,GROCERY I,,,
16,GROCERY II,,,
16,HARDWARE,,,
16,HOME AND KITCHEN I,,,
16,HOME AND KITCHEN II,,,
16,HOME APPLIANCES,,,
16,HOME CARE,,,
16,LADIESWEAR,,,
16,LAWN AND GARDEN,,,
16,LINGERIE,,,
16,"LIQUOR,WINE,BEER",,,
16,MAGAZINES,,,
16,MEATS,,,
16,PERSONAL CARE,,,
16,PET SUPPLIES,,,
16,PLAYERS AND ELECTRONICS,,,
16,POULTRY,,,
16,PREPARED FOODS,,,
16,PRODUCE,,,
16,SCHOOL AND OFFICE SUPPLIES,,,
16,SEAFOOD,,,
17,AUTOMOTIVE,,,
17,BABY CARE,,,
17,BEAUTY,,,
17,BEVERAGES,,,
17,BOOKS,,,
17,BREAD/BAKERY,,,
17,CELEBRATION,,,
17,CLEANING,,,
17,DAIRY,,,
17,DELI,,,
17,EGGS,,,
17,FROZEN FOODS,,,
17,GROCERY I,,,
17,GROCERY II,,,
17,HARDWARE,,,
17,HOME AND KITCHEN I,,,
17,HOME AND KITCHEN II,,,
17,HOME APPLIANCES,,,
17,HOME CARE,,,
17,LADIESWEAR,,,
17,LAWN AND GARDEN,,,
17,LINGERIE,,,
17,"LIQUOR,WINE,BEER",,,
17,MAGAZINES,,,
17,MEATS,,,
17,PERSONAL CARE,,,
17,PET SUPPLIES,,,
17,PLAYERS AND ELECTRONICS,,,
17,POULTRY,,,
17,PREPARED FOODS,,,
17,PRODUCE,,,
17,SCHOOL AND OFFICE SUPPLIES,,,
17,SEAFOOD,,,
18,AUTOMOTIVE,,,
18,BABY CARE,,,
18,BEAUTY,,,
18,BEVERAGES,,,
18,BOOKS,,,
18,BREAD/BAKERY,,,
18,CELEBRATION,,,
18,CLEANING,,,
18,DAIRY,,,
18,DELI,,,
18,EGGS,,,
18,FROZEN FOODS,,,
18,GROCERY I,,,
18,GROCERY II,,,
18,HARDWARE,,,
18,HOME AND KITCHEN I,,,
18,HOME AND KITCHEN II,,,
18,HOME APPLIANCES,,,
18,HOME CARE,,,
18,LADIESWEAR,,,
18,LAWN AND GARDEN,,,
18,LINGERIE,,,
18,"LIQUOR,WINE,BEER",,,
18,MAGAZINES,,,
18,MEATS,,,
18,PERSONAL CARE,,,
18,PET SUPPLIES,,,
18,PLAYERS AND ELECTRONICS,,,
18,POULTRY,,,
18,PREPARED FOODS,,,
18,PRODUCE,,,
18,SCHOOL AND OFFICE SUPPLIES,,,
18,SEAFOOD,,,
19,AUTOMOTIVE,,,
19,BABY CARE,,,
19,BEAUTY,,,
19,BEVERAGES,,,
19,BOOKS,,,
19,BREAD/BAKERY,,,
19,CELEBRATION,,,
19,CLEANING,,,
19,DAIRY,,,
19,DELI,,,
19,EGGS,,,
19,FROZEN FOODS,,,
19,GROCERY I,,,
19,GROCERY II,,,
19,HARDWARE,,,
19,HOME AND KITCHEN I,,,
19,HOME AND KITCHEN II,,,
19,HOME APPLIANCES,,,
19,HOME CARE,,,
19,LADIESWEAR,,,
19,LAWN AND GARDEN,,,
19,LINGERIE,,,
19,"LIQUOR,WINE,BEER",,,
19,MAGAZINES,,,
19,MEATS,,,
19,PERSONAL CARE,,,
19,PET SUPPLIES,,,
19,PLAYERS AND ELECTRONICS,,,
19,POULTRY,,,
19,PREPARED FOODS,,,
19,PRODUCE,,,
19,SCHOOL AND OFFICE SUPPLIES,,,
19,SEAFOOD,,,
20,AUTOMOTIVE,,,
20,BABY CARE,,,
20,BEAUTY,,,
20,BEVERAGES,,,
20,BOOKS,,,
20,BREAD/BAKERY,,,
20,CELEBRATION,,,
20,CLEANING,,,
20,DAIRY,,,
20,DELI,,,
20,EGGS,,,
20,FROZEN FOODS,,,
20,GROCERY I,,,
20,GROCERY II,,,
20,HARDWARE,,,
20,HOME AND KITCHEN I,,,
20,HOME AND KITCHEN II,,,
20,HOME APPLIANCES,,,
20,HOME CARE,,,
20,LADIESWEAR,,,
20,LAWN AND GARDEN,,,
20,LINGERIE,,,
20,"LIQUOR,WINE,BEER",,,
20,MAGAZINES,,,
20,MEATS,,,
20,PERSONAL CARE,,,
20,PET SUPPLIES,,,
20,PLAYERS AND ELECTRONICS,,,
20,POULTRY,,,
20,PREPARED FOODS,,,
20,PRODUCE,,,
20,SCHOOL AND OFFICE SUPPLIES,,,
20,SEAFOOD,,,
21,AUTOMOTIVE,,,
21,BABY CARE,,,
21,BEAUTY,,,
21,BEVERAGES,,,
21,BOOKS,,,
21,BREAD/BAKERY,,,
21,CELEBRATION,,,
21,CLEANING,,,
21,DAIRY,,,
21,DELI,,,
21,EGGS,,,
21,FROZEN FOODS,,,
21,GROCERY I,,,
21,GROCERY II,,,
21,HARDWARE,,,
21,HOME AND KITCHEN I,,,
21,HOME AND KITCHEN II,,,
21,HOME APPLIANCES,,,
21,HOME CARE,,,
21,LADIESWEAR,,,
21,LAWN AND GARDEN,,,
21,LINGERIE,,,
21,"LIQUOR,WINE,BEER",,,
21,MAGAZINES,,,
21,MEATS,,,
21,PERSONAL CARE,,,
21,PET SUPPLIES,,,
21,PLAYERS AND ELECTRONICS,,,
21,POULTRY,,,
21,PREPARED FOODS,,,
21,PRODUCE,,,
21,SCHOOL AND OFFICE SUPPLIES,,,
21,SEAFOOD,,,
22,AUTOMOTIVE,,,
22,BABY CARE,,,
22,BEAUTY,,,
22,BEVERAGES,,,
22,BOOKS,,,
22,BREAD/BAKERY,,,
22,CELEBRATION,,,
22,CLEANING,,,
22,DAIRY,,,
22,DELI,,,
22,EGGS,,,
22,FROZEN FOODS,,,
22,GROCERY I,,,
22,GROCERY II,,,
22,HARDWARE,,,
22,HOME AND KITCHEN I,,,
22,HOME AND KITCHEN II,,,
22,HOME APPLIANCES,,,
22,HOME CARE,,,
22,LADIESWEAR,,,
22,LAWN AND GARDEN,,,
22,LINGERIE,,,
22,"LIQUOR,WINE,BEER",,,
22,MAGAZINES,,,
22,MEATS,,,
22,PERSONAL CARE,,,
22,PET SUPPLIES,,,
22,PLAYERS AND ELECTRONICS,,,
22,POULTRY,,,
22,PREPARED FOODS,,,
22,PRODUCE,,,
22,SCHOOL AND OFFICE SUPPLIES,,,
22,SEAFOOD,,,
23,AUTOMOTIVE,,,
23,BABY CARE,,,
23,BEAUTY,,,
23,BEVERAGES,,,
23,BOOKS,,,
23,BREAD/BAKERY,,,
23,CELEBRATION,,,
23,CLEANING,,,
23,DAIRY,,,
23,DELI,,,
23,EGGS,,,
23,FROZEN FOODS,,,
23,GROCERY I,,,
23,GROCERY II,,,
23,HARDWARE,,,
23,HOME AND KITCHEN I,,,
23,HOME AND KITCHEN II,,,
23,HOME APPLIANCES,,,
23,HOME CARE,,,
23,LADIESWEAR,,,
23,LAWN AND GARDEN,,,
23,LINGERIE,,,
23,"LIQUOR,WINE,BEER",,,
23,MAGAZINES,,,
23,MEATS,,,
23,PERSONAL CARE,,,
23,PET SUPPLIES,,,
23,PLAYERS AND ELECTRONICS,,,
23,POULTRY,,,
23,PREPARED FOODS,,,
23,PRODUCE,,,
23,SCHOOL AND OFFICE SUPPLIES,,,
23,SEAFOOD,,,
24,AUTOMOTIVE,,,
24,BABY CARE,,,
24,BEAUTY,,,
24,BEVERAGES,,,
24,BOOKS,,,
24,BREAD/BAKERY,,,
24,CELEBRATION,,,
24,CLEANING,,,
24,DAIRY,,,
24,DELI,,,
24,EGGS,,,
24,FROZEN FOODS,,,
24,GROCERY I,,,
24,GROCERY II,,,
24,HARDWARE,,,
24,HOME AND KITCHEN I,,,
24,HOME AND KITCHEN II,,,
24,HOME APPLIANCES,,,
24,HOME CARE,,,
24,LADIESWEAR,,,
24,LAWN AND GARDEN,,,
24,LINGERIE,,,
24,"LIQUOR,WINE,BEER",,,
24,MAGAZINES,,,
24,MEATS,,,
24,PERSONAL CARE,,,
24,PET SUPPLIES,,,
24,PLAYERS AND ELECTRONICS,,,
24,POULTRY,,,
24,PREPARED FOODS,,,
24,PRODUCE,,,
24,SCHOOL AND OFFICE SUPPLIES,,,
24,SEAFOOD,,,
25,AUTOMOTIVE,,,
25,BABY CARE,,,
25,BEAUTY,,,
25,BEVERAGES,,,
25,BOOKS,,,
25,BREAD/BAKERY,,,
25,CELEBRATION,,,
25,CLEANING,,,
25,DAIRY,,,
25,DELI,,,
25,EGGS,,,
25,FROZEN FOODS,,,
25,GROCERY I,,,
25,GROCERY II,,,
25,HARDWARE,,,
25,HOME AND KITCHEN I,,,
25,HOME AND KITCHEN II,,,
25,HOME APPLIANCES,,,
25,HOME CARE,,,
25,LADIESWEAR,,,
25,LAWN AND GARDEN,,,
25,LINGERIE,,,
25,"LIQUOR,WINE,BEER",,,
25,MAGAZINES,,,
25,MEATS,,,
25,PERSONAL CARE,,,
25,PET SUPPLIES,,,
25,PLAYERS AND ELECTRONICS,,,
25,POULTRY,,,
25,PREPARED FOODS,,,
25,PRODUCE,,,
25,SCHOOL AND OFFICE SUPPLIES,,,
25,SEAFOOD,,,
26,AUTOMOTIVE,,,
26,BABY CARE,,,
26,BEAUTY,,,
26,BEVERAGES,,,
26,BOOKS,,,
26,BREAD/BAKERY,,,
26,CELEBRATION,,,
26,CLEANING,,,
26,DAIRY,,,
26,DELI,,,
26,EGGS,,,
26,FROZEN FOODS,,,
26,GROCERY I,,,
26,GROCERY II,,,
26,HARDWARE,,,
26,HOME AND KITCHEN I,,,
26,HOME AND KITCHEN II,,,
26,HOME APPLIANCES,,,
26,HOME CARE,,,
26,LADIESWEAR,,,
26,LAWN AND GARDEN,,,
26,LINGERIE,,,
26,"LIQUOR,WINE,BEER",,,
26,MAGAZINES,,,
26,MEATS,,,
26,PERSONAL CARE,,,
26,PET SUPPLIES,,,
26,PLAYERS AND ELECTRONICS,,,
26,POULTRY,,,
26,PREPARED FOODS,,,
26,PRODUCE,,,
26,SCHOOL AND OFFICE SUPPLIES,,,
26,SEAFOOD,,,
27,AUTOMOTIVE,,,
27,BABY CARE,,,
27,BEAUTY,,,
27,BEVERAGES,,,
27,BOOKS,,,
27,BREAD/BAKERY,,,
27,CELEBRATION,,,
27,CLEANING,,,
27,DAIRY,,,
27,DELI,,,
27,EGGS,,,
27,FROZEN FOODS,,,
27,GROCERY I,,,
27,GROCERY II,,,
27,HARDWARE,,,
27,HOME AND KITCHEN I,,,
27,HOME AND KITCHEN II,,,
27,HOME APPLIANCES,,,
27,HOME CARE,,,
27,LADIESWEAR,,,
27,LAWN AND GARDEN,,,
27,LINGERIE,,,
27,"LIQUOR,WINE,BEER",,,
27,MAGAZINES,,,
27,MEATS,,,
27,PERSONAL CARE,,,
27,PET SUPPLIES,,,
27,PLAYERS AND ELECTRONICS,,,
27,POULTRY,,,
27,PREPARED FOODS,,,
27,PRODUCE,,,
27,SCHOOL AND OFFICE SUPPLIES,,,
27,SEAFOOD,,,
28,AUTOMOTIVE,,,
28,BABY CARE,,,
28,BEAUTY,,,
28,BEVERAGES,,,
28,BOOKS,,,
28,BREAD/BAKERY,,,
28,CELEBRATION,,,
28,CLEANING,,,
28,DAIRY,,,
28,DELI,,,
28,EGGS,,,
28,FROZEN FOODS,,,
28,GROCERY I,,,
28,GROCERY II,,,
28,HARDWARE,,,
28,HOME AND KITCHEN I,,,
28,HOME AND KITCHEN II,,,
28,HOME APPLIANCES,,,
28,HOME CARE,,,
28,LADIESWEAR,,,
28,LAWN AND GARDEN,,,
28,LINGERIE,,,
28,"LIQUOR,WINE,BEER",,,
28,MAGAZINES,,,
28,MEATS,,,
28,PERSONAL CARE,,,
28,PET SUPPLIES,,,
28,PLAYERS AND ELECTRONICS,,,
28,POULTRY,,,
28,PREPARED FOODS,,,
28,PRODUCE,,,
28,SCHOOL AND OFFICE SUPPLIES,,,
28,SEAFOOD,,,
29,AUTOMOTIVE,,,
29,BABY CARE,,,
29,BEAUTY,,,
29,BEVERAGES,,,
29,BOOKS,,,
29,BREAD/BAKERY,,,
29,CELEBRATION,,,
29,CLEANING,,,
29,DAIRY,,,
29,DELI,,,
29,EGGS,,,
29,FROZEN FOODS,,,
29,GROCERY I,,,
29,GROCERY II,,,
29,HARDWARE,,,
29,HOME AND KITCHEN I,,,
29,HOME AND KITCHEN II,,,
29,HOME APPLIANCES,,,
29,HOME CARE,,,
29,LADIESWEAR,,,
29,LAWN AND GARDEN,,,
29,LINGERIE,,,
29,"LIQUOR,WINE,BEER",,,
29,MAGAZINES,,,
29,MEATS,,,
29,PERSONAL CARE,,,
29,PET SUPPLIES,,,
29,PLAYERS AND ELECTRONICS,,,
29,POULTRY,,,
29,PREPARED FOODS,,,
29,PRODUCE,,,
29,SCHOOL AND OFFICE SUPPLIES,,,
29,SEAFOOD,,,
30,AUTOMOTIVE,,,
30,BABY CARE,,,
30,BEAUTY,,,
30,BEVERAGES,,,
30,BOOKS,,,
30,BREAD/BAKERY,,,
30,CELEBRATION,,,
30,CLEANING,,,
30,DAIRY,,,
30,DELI,,,
30,EGGS,,,
30,FROZEN FOODS,,,
30,GROCERY I,,,
30,GROCERY II,,,
30,HARDWARE,,,
30,HOME AND KITCHEN I,,,
30,HOME AND KITCHEN II,,,
30,HOME APPLIANCES,,,
30,HOME CARE,,,
30,LADIESWEAR,,,
30,LAWN AND GARDEN,,,
30,LINGERIE,,,
30,"LIQUOR,WINE,BEER",,,
30,MAGAZINES,,,
30,MEATS,,,
30,PERSONAL CARE,,,
30,PET SUPPLIES,,,
30,PLAYERS AND ELECTRONICS,,,
30,POULTRY,,,
30,PREPARED FOODS,,,
30,PRODUCE,,,
30,SCHOOL AND OFFICE SUPPLIES,,,
30,SEAFOOD,,,
